cloudflare,AS395747|AS394536|AS209242|AS203898|AS202623|AS14789|AS139242|AS133877|AS13335|AS132892
facebook,AS63293|AS54115|AS32934
fastly,AS54113|AS394192
google,AS6432|AS55023|AS45566|AS43515|AS41264|AS40873|AS396982|AS395973|AS394699|AS394639|AS394507|AS36987|AS36492|AS36385|AS36384|AS36040|AS36039|AS26910|AS26684|AS22859|AS22577|AS19527|AS19448|AS19425|AS16591|AS16550|AS15169|AS13949|AS139190|AS139070
netflix,AS55095|AS40027|AS394406|AS2906
telegram,AS62041|AS62014|AS59930|AS44907|AS211157
twitter,AS8945|AS63179|AS54888|AS35995|AS13414
microsoft,AS3598|AS5761|AS6182|AS6584|AS8068|AS8069|AS8070|AS8071|AS8075|AS12076|AS13399|AS14271|AS14719|AS20046|AS23468|AS25796|AS30135|AS30575|AS32476|AS35106|AS36006|AS45139|AS52985|AS63314|AS395496|AS395524|AS395851|AS396463|AS397466|AS398575|AS398656|AS400572
